python : [synapse] connecting to prod-synapse-dataplatform-we.sql.azuresynapse.net / sql_dp_prod_we...
At C:\Users\guyman\AppData\Local\Temp\2\ps-script-c32c4adc-4b9c-44ab-b73b-50b8d5a0b39c.ps1:76 char:1
+ python tools/parity_check_ddr_2025.py 2>&1 | Out-File -FilePath ddr_p ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ([synapse] conne...l_dp_prod_we...:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
[synapse-prod] 487 dateids in 11.6s

[uc] connecting (profile=name-of-profile)...

[uc] 487 dateids in 14.2s

DateID,syn_deposits,uc_deposits,diff_deposits,syn_tp_equity,uc_tp_equity,diff_tp_equity,syn_sdrt,uc_sdrt,diff_sdrt,syn_upnl_change,uc_upnl_change,diff_upnl_change,syn_funded,uc_funded,diff_funded,mismatch_metrics
20251109,12080900.260000,,,18290730717.794500,18290730717.794500,0.000000,,,,184660842.200000,184660842.200000,0.000000,3567125,3567125,0,deposits
20251110,55925284.800000,,,18697881381.104500,18697881381.104500,0.000000,8009.290000,8009.290000,0.000000,398092036.080000,398092036.080000,0.000000,3592917,3592917,0,deposits
20251111,44307490.280000,,,18349139541.784500,18349139541.784500,0.000000,5963.840000,5963.840000,0.000000,-361027998.210000,-361027998.210000,0.000000,3593452,3593452,0,deposits
20251112,42001239.380000,,,18231855856.464500,18231855856.464500,0.000000,5056.270000,5056.270000,0.000000,-122530339.170000,-122530339.170000,0.000000,3593944,3593944,0,deposits
20251113,57883216.910000,,,17817750664.834500,17817750664.834500,0.000000,5072.200000,5072.200000,0.000000,-429656192.160000,-429656192.160000,0.000000,3594533,3594533,0,deposits
20251114,60499845.780000,,,17509317847.074500,17509317847.074500,0.000000,9460.360000,9460.360000,0.000000,-304548824.480000,-304548824.480000,0.000000,3595019,3595019,0,deposits
20251115,10879619.350000,,,17578560791.264500,17578560791.264500,0.000000,,,,67059753.870000,67059753.870000,0.000000,3593716,3593716,0,deposits
20251116,13758656.290000,,,17468434877.844500,17468434877.844500,0.000000,,,,-112641167.570000,-112641167.570000,0.000000,3593961,3593961,0,deposits
20251117,52764493.470000,,,17204857122.274500,17204857122.274500,0.000000,4898.890000,4898.890000,0.000000,-261690933.330000,-261690933.330000,0.000000,3594719,3594719,0,deposits
20251118,52245173.710000,,,17238774010.034500,17238774010.034500,0.000000,4675.240000,4675.240000,0.000000,40098476.510000,40098476.510000,0.000000,3596307,3596307,0,deposits
