idx,uc_target,column,status,error
87,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_copydailydata,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_copydailydata`. SQLSTATE: 428FR"
88,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cross_selling_monthly,etr_y,OK,
89,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cross_selling_monthly,etr_ym,OK,
90,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cross_selling_monthly,etr_ymd,OK,
91,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop`. SQLSTATE: 428FR"
92,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop`. SQLSTATE: 428FR"
93,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop`. SQLSTATE: 428FR"
94,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop_cid,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop_cid`. SQLSTATE: 428FR"
95,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop_cid,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop_cid`. SQLSTATE: 428FR"
96,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop_cid,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop_cid`. SQLSTATE: 428FR"
