normalized_concept,hub_count,claiming_hubs,variant_count,variants,file_count,source_fields
airdropoccurred,1,domain-staking,1,AirdropOccurred,2,triggers
airdropoccurred is null,1,domain-staking,1,AirdropOccurred IS NULL,1,triggers
airdropplanid,1,domain-marketing-and-acquisition,1,AirdropPlanID,2,triggers
airdrops list,1,domain-staking,1,Airdrops List,3,triggers
airdropstatusid,1,domain-marketing-and-acquisition,1,AirdropStatusID,2,triggers
airdropstatusname,1,domain-marketing-and-acquisition,1,AirdropStatusName,1,triggers
airdropusaonly,1,domain-staking,1,AirDropUSAOnly,2,triggers
aireasoning,1,domain-ops-and-onboarding,1,AiReasoning,2,triggers
alert catalogue,1,domain-compliance-and-aml,1,alert catalogue,1,triggers
alert category,1,domain-compliance-and-aml,1,alert category,1,triggers
alert review,1,domain-compliance-and-aml,1,alert review,1,triggers
alert routing,1,domain-compliance-and-aml,1,alert routing,1,triggers
alert rule,1,domain-compliance-and-aml,1,alert rule,1,triggers
alertcategory,1,domain-compliance-and-aml,1,AlertCategory,1,triggers
alertcode,1,domain-compliance-and-aml,1,AlertCode,2,triggers
alertid,1,domain-compliance-and-aml,1,AlertID,1,triggers
alertseverityscore,1,domain-compliance-and-aml,1,AlertSeverityScore,2,triggers
alertssummary,1,domain-compliance-and-aml,1,AlertsSummary,1,triggers
alertssummary breakdown for a single cid across the periodic-review queue,1,domain-compliance-and-aml,1,AlertsSummary breakdown for a single CID across the periodic-review queue,1,sample_questions
alerttype,1,domain-ops-and-onboarding,1,AlertType,1,triggers
alerttypedescription,1,domain-ops-and-onboarding,1,AlertTypeDescription,1,triggers
all-platform aua,1,domain-aum-and-aua,1,all-platform AUA,1,triggers
all-platform aum,1,domain-aum-and-aua,1,all-platform AUM,1,triggers
allfundeddormantclients,1,domain-compliance-and-aml,1,AllFundedDormantClients,1,triggers
allowed rate difference exceeded,1,domain-trading,1,allowed rate difference exceeded,1,triggers
